Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage
HDFC,Financials,Consumer Financial Services,Asia,India,23.2,6.6,1.2,43.5,535,http://www.forbes.com/companies/hdfc/
Raiffeisen Bank International,Financials,Major Banks,Europe,Austria,10.1,11.1,0.7,177.4,536,http://www.forbes.com/companies/raiffeisen-bank-international/
Shin-Etsu Chemical,Materials,Diversified Chemicals,Asia,Japan,24.2,11.4,1.2,19.9,537,http://www.forbes.com/companies/shin-etsu-chemical/
CIC Group,Financials,Major Banks,Europe,France,8.5,9.7,1.1,321,538,http://www.forbes.com/companies/cic-group/
Suncorp Group,Financials,Diversified Insurance,Australia,Australia,15.2,15.6,0.4,84.2,539,http://www.forbes.com/companies/suncorp-group/
Kubota,Industrials,Heavy Equipment,Asia,Japan,16.6,14.6,1.2,19.9,539,http://www.forbes.com/companies/kubota/
SCA,Consumer Staples,Household/Personal Care,Europe,Sweden,20.8,13.7,0.9,22.2,541,http://www.forbes.com/companies/sca/
Tata Consultancy Services,Information Technology,Computer Services,Asia,India,71.2,13.1,3,9.2,542,http://www.forbes.com/companies/tata-consultancy-services/
Siam Commercial Bank,Financials,Regional Banks,Asia,Thailand,16.6,5.7,1.6,77.1,542,http://www.forbes.com/companies/siam-commercial-bank/
TELUS,Telecommunication Services,Telecommunications services,North America,Canada,22.3,11,1.3,20.3,542,http://www.forbes.com/companies/telus/
Aisin Seiki,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,10.2,28.1,1,24,545,http://www.forbes.com/companies/aisin-seiki/
Daikin Industries,Materials,Construction Materials,Asia,Japan,16.7,17.3,1,19.3,545,http://www.forbes.com/companies/daikin-industries/
LG Chem,Materials,Specialized Chemicals,Asia,South Korea,16.4,21.1,1.1,16.5,547,http://www.forbes.com/companies/lg-chem/
Vivendi,Telecommunication Services,Telecommunications services,Europe,France,37.3,31.6,-1.3,67.8,548,http://www.forbes.com/companies/vivendi/
Transocean,Energy,Oil Services & Equipment,Europe,Switzerland,14.9,9.5,1.4,32.5,549,http://www.forbes.com/companies/transocean/
Mazda Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,13.4,26.7,0.9,19.7,550,http://www.forbes.com/companies/mazda-motor/
Anglo American,Materials,Diversified Metals & Mining,Europe,United Kingdom,35.3,29.3,-0.9,71.2,551,http://www.forbes.com/companies/anglo-american/
Evonik,,,Europe,Germany,18.3,17.1,0.7,21.9,552,http://www.forbes.com/companies/evonik/
Grupo Aval,Financials,Investment Services,South America,Colombia,13.3,9,0.8,72,553,http://www.forbes.com/companies/grupo-aval/
Compass Group,Consumer Discretionary,Restaurants,Europe,United Kingdom,27.3,27.4,0.7,14.8,553,http://www.forbes.com/companies/compass-group/
Kasikornbank,Financials,Major Banks,Asia,Thailand,13.3,6.9,1.3,69.7,555,http://www.forbes.com/companies/kasikornbank/
Commerzbank,Financials,Major Banks,Europe,Germany,21.7,21.6,0.1,803,556,http://www.forbes.com/companies/commerzbank/
Ferrovial,Industrials,Other Transportation,Europe,Spain,16.1,10.8,1,31.4,556,http://www.forbes.com/companies/ferrovial/
Xcel Energy,Utilities,Electric Utilities,North America,United States,15.1,10.9,0.9,33.9,558,http://www.forbes.com/companies/xcel-energy/
J Sainsbury,Consumer Staples,Food Retail,Europe,United Kingdom,9.8,37.2,1,20.9,559,http://www.forbes.com/companies/j-sainsbury/
Lotte Shopping,Consumer Discretionary,Department Stores,Asia,South Korea,9.3,25.8,0.7,36.9,560,http://www.forbes.com/companies/lotte-shopping/
Franklin Resources,Financials,Investment Services,North America,United States,34.3,8.2,2.2,15.9,561,http://www.forbes.com/companies/franklin-resources/
Daiwa House Industry,Industrials,Construction Services,Asia,Japan,11.1,25.4,0.8,24.7,562,http://www.forbes.com/companies/daiwa-house-industry/
Sabanci Holding,Industrials,Conglomerates,Europe,Turkey,8.1,13,0.9,96.1,563,http://www.forbes.com/companies/sabanci-holding/
Grupo Modelo,Consumer Staples,Beverages,North America,Mexico,41.1,6.9,3.8,15,564,http://www.forbes.com/companies/grupo-modelo/
Carlsberg,Consumer Staples,Beverages,Europe,Denmark,15.2,11.8,1,27.9,565,http://www.forbes.com/companies/carlsberg/
Lenovo Group,Information Technology,Computer Hardware,Asia,Hong Kong,11.9,37.2,0.8,19.5,566,http://www.forbes.com/companies/lenovo-group/
Al Rajhi Bank,Financials,Regional Banks,Asia,Saudi Arabia,30.1,4,2,74.6,567,http://www.forbes.com/companies/al-rajhi-bank/
Hartford Financial Services,Financials,Diversified Insurance,North America,United States,15.9,26.4,0.3,279.6,568,http://www.forbes.com/companies/hartford-financial-services/
Kingfisher,Consumer Discretionary,Home Improvement Retail,Europe,United Kingdom,17,17.4,1.1,16.1,569,http://www.forbes.com/companies/kingfisher/
Keppel Corp,Industrials,Conglomerates,Asia,Singapore,15.6,9.9,1.5,23.9,570,http://www.forbes.com/companies/keppel-corp/
Simon Property Group,Financials,Real Estate,North America,United States,51.8,5.2,1.3,33.3,571,http://www.forbes.com/companies/simon-property-group/
Tenaris,Energy,Oil Services & Equipment,Europe,Luxembourg,26.2,10.6,1.6,15.9,572,http://www.forbes.com/companies/tenaris/
Regions Financial,Financials,Regional Banks,North America,United States,16,5.6,1.1,118.1,573,http://www.forbes.com/companies/regions-financial/
Telecom Italia,Telecommunication Services,Telecommunications services,Europe,Italy,22.8,31.1,-0.9,96.8,574,http://www.forbes.com/companies/telecom-italia/
Southwest Airlines,Industrials,Airline,North America,United States,16.8,17.7,0.8,19.3,575,http://www.forbes.com/companies/southwest-airlines/
Western Digital,Information Technology,Computer Storage Devices,North America,United States,22.1,15.3,1,15.3,576,http://www.forbes.com/companies/western-digital/
Porsche Automobil Holding,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,32.3,0,3.2,43.1,577,http://www.forbes.com/companies/porsche-automobil-holding/
Tokyo Gas,Utilities,Natural Gas Utilities,Asia,Japan,12.5,20.6,1,19.6,577,http://www.forbes.com/companies/tokyo-gas/
Woodside Petroleum,Energy,Oil & Gas Operations,Australia,Australia,29.4,6.2,1.7,23.8,579,http://www.forbes.com/companies/woodside-petroleum/
Deutsche Lufthansa,Industrials,Airline,Europe,Germany,12.3,39.9,0.4,40.1,580,http://www.forbes.com/companies/deutsche-lufthansa/
Falabella,Consumer Discretionary,Department Stores,South America,Chile,21.6,13.2,0.9,18.2,581,http://www.forbes.com/companies/falabella/
Bankia,Financials,Regional Banks,Europe,Spain,24.3,5.1,0.7,346.5,582,http://www.forbes.com/companies/bankia/
Potash of Saskatchewan,Materials,Specialized Chemicals,North America,Canada,30.1,7.3,1.8,18,582,http://www.forbes.com/companies/potash-of-saskatchewan/
Sumitomo Electric,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,12,25.2,0.6,24.2,584,http://www.forbes.com/companies/sumitomo-electric/
Public Bank,Financials,Regional Banks,Asia,Malaysia,20.6,4.6,1.3,93.3,585,http://www.forbes.com/companies/public-bank/
Alpha Bank,Financials,Regional Banks,Europe,Greece,10.5,5.2,3,99.3,586,http://www.forbes.com/companies/alpha-bank/
Air Products & Chemicals,Materials,Specialized Chemicals,North America,United States,25.4,10.2,1,17.9,587,http://www.forbes.com/companies/air-products-chemicals/
Sumitomo Realty,Financials,Real Estate,Asia,Japan,18.6,8.3,0.7,39.2,588,http://www.forbes.com/companies/sumitomo-realty/
Publicis Groupe,Consumer Discretionary,Advertising,Europe,France,18.4,9.2,1.1,23.6,589,http://www.forbes.com/companies/publicis-groupe/
Entergy,Utilities,Electric Utilities,North America,United States,12,11.4,0.7,43.4,590,http://www.forbes.com/companies/entergy/
ASML Holding,Information Technology,Semiconductors,Europe,Netherlands,41.2,7,1.6,16.8,591,http://www.forbes.com/companies/asml-holding/
SLM,Financials,Consumer Financial Services,North America,United States,10.6,5.8,1.4,159.5,592,http://www.forbes.com/companies/slm/
ConAgra Foods,Consumer Staples,Food Processing,North America,United States,13,17.9,0.8,20.4,593,http://www.forbes.com/companies/conagra-foods/
Reynolds American,Consumer Staples,Tobacco,North America,United States,28.8,8.2,1.7,15.4,594,http://www.forbes.com/companies/reynolds-american/
China Resources Power,Utilities,Electric Utilities,Asia,Hong Kong,12.6,9,1.5,27.6,595,http://www.forbes.com/companies/china-resources-power/
Samsung Fire & Marine,Financials,Property & Casualty Insurance,Asia,South Korea,9.4,16.7,0.6,45.7,596,http://www.forbes.com/companies/samsung-fire-marine/
Unum Group,Financials,Life & Health Insurance,North America,United States,9.2,10.4,0.9,60.7,597,http://www.forbes.com/companies/unum-group/
Sime Darby,Industrials,Conglomerates,Asia,Malaysia,17.1,14.4,1.1,15.2,598,http://www.forbes.com/companies/sime-darby/
George Weston,Consumer Staples,Food Retail,North America,Canada,9.5,32.6,0.7,23.2,599,http://www.forbes.com/companies/george-weston/
Evergrande Real Estate,Financials,Real Estate,Asia,China,7.2,11.4,1.6,44.7,600,http://www.forbes.com/companies/evergrande-real-estate/
Agrium,Materials,Specialized Chemicals,North America,Canada,14,15.9,1.1,16,601,http://www.forbes.com/companies/agrium/
Mosaic,Materials,Specialized Chemicals,North America,United States,19.9,8.2,1.3,19.6,601,http://www.forbes.com/companies/mosaic/
Anhui Conch Cement,Materials,Construction Materials,Asia,China,22.8,9,1.5,15.4,603,http://www.forbes.com/companies/anhui-conch-cement/
Teck Resources,Materials,Diversified Metals & Mining,North America,Canada,12.6,9.1,0.9,34.1,604,http://www.forbes.com/companies/teck-resources/
Banco Popular Espanol,Financials,Regional Banks,Europe,Spain,16.3,8.2,0.4,203.7,605,http://www.forbes.com/companies/banco-popular-espanol/
Swatch Group,Consumer Discretionary,Apparel/Accessories,Europe,Switzerland,33.6,9.1,2.1,11.3,606,http://www.forbes.com/companies/swatch-group/
National Bank of Greece,Financials,Major Banks,Europe,Greece,13.4,5,1.1,152.9,607,http://www.forbes.com/companies/national-bank-of-greece/
Stryker,Health Care,Medical Equipment & Supplies,North America,United States,31,9,1,15.7,608,http://www.forbes.com/companies/stryker/
Delphi Automotive,Consumer Discretionary,Auto & Truck Parts,Europe,United Kingdom,21.3,16.5,1.2,11,609,http://www.forbes.com/companies/delphi-automotive/
Spectra Energy,Energy,Oil Services & Equipment,North America,United States,25.3,5.5,1,33.5,610,http://www.forbes.com/companies/spectra-energy/
Tyson Foods,Consumer Staples,Food Processing,North America,United States,14.8,34.8,0.9,11.8,611,http://www.forbes.com/companies/tyson-foods/
FirstEnergy,Utilities,Electric Utilities,North America,United States,14,14.9,0.4,50.4,612,http://www.forbes.com/companies/firstenergy/
Sodexo,Consumer Discretionary,Business & Personal Services,Europe,France,16.5,24.1,0.6,16.6,613,http://www.forbes.com/companies/sodexo/
Biogen Idec,Health Care,Biotechs,North America,United States,73.2,6.9,1.9,11.9,614,http://www.forbes.com/companies/biogen-idec/
Abertis,Industrials,Other Transportation,Europe,Spain,19.7,6.2,0.8,38.8,615,http://www.forbes.com/companies/abertis/
Astellas Pharma,Health Care,Pharmaceuticals,Asia,Japan,26.1,11.7,0.8,14.9,615,http://www.forbes.com/companies/astellas-pharma/
M&T Bank,Financials,Regional Banks,North America,United States,16,4.8,1.1,85.6,615,http://www.forbes.com/companies/mt-bank/
Murphy Oil,Energy,Oil & Gas Operations,North America,United States,11.3,16.8,1,17.5,618,http://www.forbes.com/companies/murphy-oil/
Formosa Chemicals,Materials,Specialized Chemicals,Asia,Taiwan,14.1,14.5,0.9,17.4,619,http://www.forbes.com/companies/formosa-chemicals/
Hyundai Heavy Industries,Industrials,Heavy Equipment,Asia,South Korea,15.3,49.5,0.3,50.4,620,http://www.forbes.com/companies/hyundai-heavy-industries/
Liberty Global,Consumer Discretionary,Broadcasting & Cable,Europe,United Kingdom,32.1,14.5,-1,67.7,621,http://www.forbes.com/companies/liberty-global/
Unibail-Rodamco,Financials,Real Estate,Europe,France,25.2,2.3,1.7,44.6,622,http://www.forbes.com/companies/unibail-rodamco/
PKO Bank Polski,Financials,Regional Banks,Europe,Poland,17.4,4.9,1,66,623,http://www.forbes.com/companies/pko-bank-polski/
ThyssenKrupp Group,Industrials,Conglomerates,Europe,Germany,15.5,51.6,-2,48.9,624,http://www.forbes.com/companies/thyssenkrupp-group/
Bharti Airtel,Telecommunication Services,Telecommunications services,Asia,India,21.1,14.3,0.4,29.2,625,http://www.forbes.com/companies/bharti-airtel/
Siam Cement,Materials,Specialized Chemicals,Asia,Thailand,15.5,14.1,1.2,13.4,626,http://www.forbes.com/companies/siam-cement/
Adecco,Consumer Discretionary,Business & Personal Services,Europe,Switzerland,16,25.9,0.7,12.7,627,http://www.forbes.com/companies/adecco/
Seadrill,Energy,Oil Services & Equipment,North America,Bermuda,16.4,5.3,2.7,26.3,628,http://www.forbes.com/companies/seadrill/
Celgene,Health Care,Biotechs,North America,United States,59.5,6.5,1.4,13.4,629,http://www.forbes.com/companies/celgene/
Axis Bank,Financials,Regional Banks,Asia,India,11.5,6.3,1,62.7,630,http://www.forbes.com/companies/axis-bank/
Nokia,Information Technology,Communications Equipment,Europe,Finland,28.1,27.5,-0.8,34.7,631,http://www.forbes.com/companies/nokia/
MTR,Industrials,Railroads,Asia,Hong Kong,21.7,5,1.7,27.8,632,http://www.forbes.com/companies/mtr/
Country Garden Holdings,Financials,Real Estate,Asia,Hong Kong,8,10.2,1.4,34.1,633,http://www.forbes.com/companies/country-garden-holdings/
Quanta Computer,Information Technology,Computer Hardware,Asia,Taiwan,10.3,29.7,0.6,18.6,634,http://www.forbes.com/companies/quanta-computer/
British Sky Broadcasting,Consumer Discretionary,Broadcasting & Cable,Europe,United Kingdom,24.2,11.7,1.4,11,635,http://www.forbes.com/companies/british-sky-broadcasting/
Mitsubishi Motors,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,10.3,21,1.1,14.3,636,http://www.forbes.com/companies/mitsubishi-motors/
JBS,Consumer Staples,Food Processing,South America,Brazil,9.6,43,0.4,29.1,637,http://www.forbes.com/companies/jbs/
Couche Tard,Consumer Discretionary,Specialty Stores,North America,Canada,15.3,37.7,0.8,10.4,638,http://www.forbes.com/companies/couche-tard/
National Bank of Abu Dhabi,Financials,Regional Banks,Asia,United Arab Emirates,17.9,3.2,1.2,88.5,639,http://www.forbes.com/companies/national-bank-of-abu-dhabi/
Dollar General,Consumer Discretionary,Discount Stores,North America,United States,18.1,17.5,1,10.9,640,http://www.forbes.com/companies/dollar-general/
Daqin Railway,Industrials,Railroads,Asia,China,16,7.9,2,16.4,641,http://www.forbes.com/companies/daqin-railway/
Metro Group,Consumer Staples,Food Retail,Europe,Germany,13.4,81,-0.1,45.2,642,http://www.forbes.com/companies/metro-group/
Parker-Hannifin,Industrials,Other Industrial Equipment,North America,United States,18.2,13.1,1,12.9,642,http://www.forbes.com/companies/parker-hannifin/
Bancolombia,Financials,Regional Banks,South America,Colombia,13.3,5.9,0.8,67.7,644,http://www.forbes.com/companies/bancolombia/
PGE,Utilities,Electric Utilities,Europe,Poland,12,9.5,1.3,20.1,645,http://www.forbes.com/companies/pge-polska-grupa/
Asahi Kasei,Materials,Diversified Chemicals,Asia,Japan,9.4,19,0.9,18.6,646,http://www.forbes.com/companies/asahi-kasei/
Fast Retailing,Consumer Discretionary,Apparel/Footwear Retail,Asia,Japan,36.4,12.6,1,10,647,http://www.forbes.com/companies/fast-retailing/
Whirlpool,Consumer Discretionary,Household Appliances,North America,United States,11.9,18.8,0.8,15.5,648,http://www.forbes.com/companies/whirlpool/
Sandvik,Industrials,Other Industrial Equipment,Europe,Sweden,18,13.4,0.8,14.6,649,http://www.forbes.com/companies/sandvik/
China National Building,Materials,Construction Materials,Asia,China,5.4,19.2,0.9,48.2,650,http://www.forbes.com/companies/china-national-building/
Liberty Media,Consumer Discretionary,Broadcasting & Cable,North America,United States,15.1,4,8.8,34.5,651,http://www.forbes.com/companies/liberty-media-1/
Kohl's,Consumer Discretionary,Department Stores,North America,United States,11.9,19,0.9,14.4,652,http://www.forbes.com/companies/kohls/
Genworth Financial,Financials,Diversified Insurance,North America,United States,8.9,9.6,0.6,111,653,http://www.forbes.com/companies/genworth-financial/
BAE Systems,Industrials,Aerospace & Defense,Europe,United Kingdom,21.8,26.4,0.3,33,654,http://www.forbes.com/companies/bae-systems/
Priceline.com,Consumer Discretionary,Business & Personal Services,North America,United States,65.2,6.8,1.9,10.4,654,http://www.forbes.com/companies/priceline/
Annaly Capital Management,Financials,Real Estate,North America,United States,10.4,3.6,3.7,81.9,656,http://www.forbes.com/companies/annaly-capital-management/
Chunghwa Telecom,Telecommunication Services,Telecommunications services,Asia,Taiwan,23.9,7.7,1.3,14.3,657,http://www.forbes.com/companies/chunghwa-telecom/
VF,Consumer Discretionary,Apparel/Accessories,North America,United States,27.4,11.4,1.2,10.3,658,http://www.forbes.com/companies/vf/
Halkbank,Financials,Regional Banks,Europe,Turkey,7.9,6.4,1.6,61.1,659,http://www.forbes.com/companies/halkbank/
Bouygues,Industrials,Construction Services,Europe,France,13.4,44.3,-1,47.3,660,http://www.forbes.com/companies/bouygues/
Bank Central Asia,Financials,Regional Banks,Asia,Indonesia,23.9,4,1.4,40.8,661,http://www.forbes.com/companies/bank-central-asia/
CME Group,Financials,Investment Services,North America,United States,24.4,2.9,1,54.5,662,http://www.forbes.com/companies/cme-group/
Asahi Group Holdings,Consumer Staples,Beverages,Asia,Japan,12.8,17.6,0.6,17,663,http://www.forbes.com/companies/asahi-group-holdings/
MegaFon,Telecommunication Services,Telecommunications services,Asia,Russia,17.1,9.3,1.6,13.1,664,http://www.forbes.com/companies/megafon/
CenturyLink,Telecommunication Services,Telecommunications services,North America,United States,19.1,18.1,-0.2,51.8,665,http://www.forbes.com/companies/centurylink/
SK Holdings,Energy,Oil & Gas Operations,Asia,South Korea,8.6,102.2,0.3,87.7,666,http://www.forbes.com/companies/sk-holdings/
Insurance Australia Group,Financials,Property & Casualty Insurance,Australia,Australia,11.9,9,0.9,23.7,667,http://www.forbes.com/companies/insurance-australia-group/
Yara International,Materials,Specialized Chemicals,Europe,Norway,12.2,14.4,1,14.7,668,http://www.forbes.com/companies/yara-international/
XL Group,Financials,Diversified Insurance,Europe,Ireland,8.6,7.5,1.1,45.7,669,http://www.forbes.com/companies/xl-group/
Isuzu Motors,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,9.7,18,1.2,13.5,670,http://www.forbes.com/companies/isuzu-motors/
Magnit,Consumer Staples,Food Retail,Asia,Russia,22.4,18.2,1.1,7,670,http://www.forbes.com/companies/magnit/
Steinhoff International,Consumer Discretionary,Furniture & Fixtures,Africa,South Africa,10.5,13,0.9,18.5,672,http://www.forbes.com/companies/steinhoff-international/
Yum Brands,Consumer Discretionary,Restaurants,North America,United States,33.7,13.1,1.1,8.7,673,http://www.forbes.com/companies/yum-brands/
Ricoh,Industrials,Business Products & Supplies,Asia,Japan,8.4,22,0.6,24.4,674,http://www.forbes.com/companies/ricoh/
AmerisourceBergen,Health Care,Pharmaceuticals,North America,United States,15.1,96.1,0.3,19.8,674,http://www.forbes.com/companies/amerisourcebergen/
Atlantia,Industrials,Other Transportation,Europe,Italy,21.6,4.8,0.8,40.7,676,http://www.forbes.com/companies/atlantia/
Industrial Bank of Korea,Financials,Regional Banks,Asia,South Korea,6.4,8.9,0.8,201.4,677,http://www.forbes.com/companies/industrial-bank-of-korea/
DTE Energy,Utilities,Electric Utilities,North America,United States,13.2,9.6,0.7,25.9,678,http://www.forbes.com/companies/dte-energy/
Toray Industries,Materials,Diversified Chemicals,Asia,Japan,10.8,18.1,0.6,18.4,679,http://www.forbes.com/companies/toray-industries/
Northeast Utilities,Utilities,Electric Utilities,North America,United States,14.2,7.3,0.8,27.8,679,http://www.forbes.com/companies/northeast-utilities/
First Gulf Bank,Financials,Regional Banks,Asia,United Arab Emirates,17.5,2.7,1.3,53.1,679,http://www.forbes.com/companies/first-gulf-bank/
Seagate Technology,Information Technology,Computer Storage Devices,Europe,Ireland,18.7,14,1.6,8.9,682,http://www.forbes.com/companies/seagate-technology/
VimpelCom,Telecommunication Services,Telecommunications services,Europe,Netherlands,15.9,21.9,-1.4,50.4,682,http://www.forbes.com/companies/vimpelcom/
Ooredoo Telecom,Telecommunication Services,Telecommunications services,Asia,Qatar,12.4,9.3,0.7,26.8,684,http://www.forbes.com/companies/ooredoo-telecom/
China Cinda Asset Management,,,Asia,China,20.1,4,1.2,46.2,685,http://www.forbes.com/companies/china-cinda-asset-management/
Ingersoll-Rand,Industrials,Conglomerates,Europe,Ireland,15.9,12.4,0.6,17.7,686,http://www.forbes.com/companies/ingersoll-rand/
PTT Global Chemical,Materials,Diversified Chemicals,Asia,Thailand,10.1,18,1.1,13.2,687,http://www.forbes.com/companies/ptt-global-chemical/
Sanlam,Financials,Life & Health Insurance,Africa,South Africa,12.1,5.7,0.8,53.3,688,http://www.forbes.com/companies/sanlam/
Banco de Sabadell,Financials,Regional Banks,Europe,Spain,13,9.5,0.3,225.2,688,http://www.forbes.com/companies/banco-de-sabadell/
Li & Fung,Industrials,Trading Companies,Asia,Hong Kong,12.5,20.7,0.8,12.5,690,http://www.forbes.com/companies/li-fung/
Liberty Interactive,Consumer Discretionary,Internet & Catalog Retail,North America,United States,14.9,11.3,0.5,24.4,691,http://www.forbes.com/companies/liberty-interactive/
Henderson Land,Financials,Real Estate,Asia,Hong Kong,15.7,3,2.1,39.2,692,http://www.forbes.com/companies/henderson-land/
CSR,Industrials,Heavy Equipment,Asia,China,11.6,14.1,0.6,19,693,http://www.forbes.com/companies/csr/
Erste Group Bank,Financials,Major Banks,Europe,Austria,14.4,12.6,0.1,275.4,694,http://www.forbes.com/companies/erste-group-bank/
Scor,Financials,Diversified Insurance,Europe,France,6.5,12.8,0.7,45.5,695,http://www.forbes.com/companies/scor/
China Steel,Materials,Iron & Steel,Asia,Taiwan,12.9,11.7,0.6,22.9,696,http://www.forbes.com/companies/china-steel/
Technip,Energy,Oil Services & Equipment,Europe,France,11.4,12.4,0.7,18.3,697,http://www.forbes.com/companies/technip/
GD Power Development,Utilities,Electric Utilities,Asia,China,6.6,10.8,1,40.4,698,http://www.forbes.com/companies/gd-power-development/
Nucor,Materials,Iron & Steel,North America,United States,16.1,19.1,0.5,15.2,698,http://www.forbes.com/companies/nucor/
Hilton Worldwide Holdings,Consumer Discretionary,Hotels & Motels,North America,United States,22.2,9.7,0.4,26.7,700,http://www.forbes.com/companies/hilton-worldwide/
China Coal Energy,Materials,Diversified Metals & Mining,Asia,China,7.3,13.2,0.7,35.5,701,http://www.forbes.com/companies/china-coal-energy/
Nan Ya Plastics,Materials,Diversified Chemicals,Asia,Taiwan,16.7,10.2,0.7,17.4,702,http://www.forbes.com/companies/nan-ya-plastics/
Midea Group Co. Ltd.,Consumer Discretionary,Household Appliances,Asia,China,12.8,19.6,0.6,16,703,http://www.forbes.com/companies/gd-midea-holding/
New World Development,Financials,Real Estate,Asia,Hong Kong,8.8,6.4,1.1,45.7,704,http://www.forbes.com/companies/new-world-development/
Gap,Consumer Discretionary,Apparel/Footwear Retail,North America,United States,18.3,16.1,1.3,7.8,705,http://www.forbes.com/companies/gap/
Sekisui House,Industrials,Construction Services,Asia,Japan,8.6,18.3,0.8,17.3,706,http://www.forbes.com/companies/sekisui-house/
Daiichi Sankyo,Health Care,Pharmaceuticals,Asia,Japan,11.6,10.9,0.9,17.3,707,http://www.forbes.com/companies/daiichi-sankyo/
CRH,Materials,Construction Materials,Europe,Ireland,21,23.9,-0.4,28.2,708,http://www.forbes.com/companies/crh/
Idemitsu Kosan,Energy,Oil & Gas Operations,Asia,Japan,3.2,49.9,0.8,29.1,708,http://www.forbes.com/companies/idemitsu-kosan/
Grupo Pão de Açúcar,Consumer Staples,Food Retail,South America,Brazil,11.7,26.7,0.5,16.1,710,http://www.forbes.com/companies/grupo-pao-de-acucar/
Bangkok Bank,Financials,Regional Banks,Asia,Thailand,10.7,4.6,1.2,79,711,http://www.forbes.com/companies/bangkok-bank/
Westfield Group,Financials,Real Estate,Australia,Australia,19.7,2.3,1.5,31.2,712,http://www.forbes.com/companies/westfield-group/
KeyCorp,Financials,Regional Banks,North America,United States,12.8,4.3,0.9,92.9,713,http://www.forbes.com/companies/keycorp/
DaVita,Health Care,Healthcare Services,North America,United States,14.8,11.8,0.6,17.1,714,http://www.forbes.com/companies/davita/
Yahoo,Information Technology,Computer Services,North America,United States,36.8,4.7,1.4,16.8,715,http://www.forbes.com/companies/yahoo/
Kansai Electric Power,Utilities,Electric Utilities,Asia,Japan,9.3,32.5,-1.3,72,716,http://www.forbes.com/companies/kansai-electric-power/
National Bank of Kuwait,Financials,Regional Banks,Asia,Kuwait,16.7,2.5,0.8,65.9,717,http://www.forbes.com/companies/national-bank-of-kuwait/
Deutsche Boerse,Financials,Investment Services,Europe,Germany,15.5,3,0.6,260.9,718,http://www.forbes.com/companies/deutsche-boerse/
Veolia Environnement,Utilities,Diversified Utilities,Europe,France,10.8,29.6,-0.2,49.9,719,http://www.forbes.com/companies/veolia-environnement/
Mobily,Telecommunication Services,Telecommunications services,Asia,Saudi Arabia,19,6.7,1.8,12.4,720,http://www.forbes.com/companies/mobily/
Marks & Spencer,Consumer Discretionary,Department Stores,Europe,United Kingdom,12.5,15.9,0.8,12.5,721,http://www.forbes.com/companies/marks-spencer/
Samba Financial Group,Financials,Regional Banks,Asia,Saudi Arabia,13.7,2,1.2,54.7,721,http://www.forbes.com/companies/samba-financial-group/
Baidu,Information Technology,Computer Services,Asia,China,55.8,5.2,1.7,11.7,723,http://www.forbes.com/companies/baidu/
Resolution,Financials,Life & Health Insurance,Europe,United Kingdom,7.2,17.2,0.3,210.8,724,http://www.forbes.com/companies/resolution/
Northern Trust,Financials,Regional Banks,North America,United States,15.6,4,0.7,102.9,725,http://www.forbes.com/companies/northern-trust/
Infosys,Information Technology,Computer Services,Asia,India,31.7,8.1,1.7,8.7,726,http://www.forbes.com/companies/infosys/
American Airlines Group,,,North America,United States,17.9,25.8,-1.9,26.8,726,http://www.forbes.com/companies/american-airlines-group/
Fujitsu,Information Technology,Computer Hardware,Asia,Japan,12.6,47.3,0.2,30.5,728,http://www.forbes.com/companies/fujitsu/
Wheelock & Co,Financials,Real Estate,Asia,Hong Kong,8.1,4.3,3.1,62.8,729,http://www.forbes.com/companies/wheelock-co/
Dentsu,Consumer Discretionary,Advertising,Asia,Japan,10.8,22.4,0.4,22.2,730,http://www.forbes.com/companies/dentsu/
Wolseley,Materials,Construction Materials,Europe,Switzerland,15.2,21,0.6,10.9,731,http://www.forbes.com/companies/wolseley/
Citic Securities,Financials,Investment Services,Asia,China,19,2.7,0.9,44.8,732,http://www.forbes.com/companies/citic-securities/
Williams Cos,Energy,Oil Services & Equipment,North America,United States,28.1,6.9,0.4,27.1,733,http://www.forbes.com/companies/williams-cos/
QBE Insurance Group,Financials,Property & Casualty Insurance,Australia,Australia,14.7,16.1,-0.3,47.3,734,http://www.forbes.com/companies/qbe-insurance-group/
Riyad Bank,Financials,Regional Banks,Asia,Saudi Arabia,13.9,2.2,1.1,54.7,735,http://www.forbes.com/companies/riyad-bank/
Mitsubishi Chemical,Materials,Diversified Chemicals,Asia,Japan,6,33.4,0.5,33.4,736,http://www.forbes.com/companies/mitsubishi-chemical/
Solvay,Materials,Diversified Chemicals,Europe,Belgium,13.4,15.1,0.4,25.4,737,http://www.forbes.com/companies/solvay/
Japan Airlines,Industrials,Airline,Asia,Japan,9,13.2,1.6,12.4,738,http://www.forbes.com/companies/japan-airlines/
Dongfeng Motor Group,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,12.4,6.1,1.5,19.2,739,http://www.forbes.com/companies/dongfeng-motor-group/
